SWI-COR-0001# sh ip arp

Flags: * - Adjacencies learnt on non-active FHRP router
       + - Adjacencies synced via CFSoE
       # - Adjacencies Throttled for Glean
       D - Static Adjacencies attached to down interface

IP ARP Table for context default
Total number of entries: 351
Address         Age       MAC Address     Interface
192.100.50.16   00:13:41  0008.5d92.9ad4  Vlan1
192.100.50.17   00:13:14  0008.5d92.9a48  Vlan1
192.100.50.18   00:13:15  0008.5d92.9af2  Vlan1

192.100.50.20   00:13:14  0008.5d92.86d0  Vlan1
192.100.50.21   00:13:15  0008.5d92.86fe  Vlan1
192.100.50.22   00:12:17  0008.5d92.9a50  Vlan1
192.100.50.23   00:13:14  0008.5d92.9a44  Vlan1
192.100.50.24   00:09:34  0008.5d92.875a  Vlan1
192.100.50.25   00:13:14  0008.5d92.9a9f  Vlan1
192.100.50.26   00:13:15  0008.5d92.9a52  Vlan1
192.100.50.27   00:13:15  0008.5d92.9aed  Vlan1
192.100.50.28   00:13:15  0008.5d92.9a4f  Vlan1
192.100.50.29   00:13:15  0008.5d92.9abc  Vlan1
192.100.50.30   00:13:15  0008.5d92.8716  Vlan1
192.100.50.31   00:13:14  0008.5d92.9ad6  Vlan1
192.100.50.32   00:13:15  0008.5d92.8737  Vlan1
192.100.50.33   00:13:14  0008.5d92.9a9a  Vlan1
192.100.50.34   00:09:15  0008.5d92.86e9  Vlan1
192.100.50.35   00:13:15  0008.5d92.9afe  Vlan1
192.100.50.36   00:13:15  0008.5d92.8744  Vlan1
192.100.50.37   00:13:15  0008.5d92.9a87  Vlan1
192.100.50.38   00:11:11  0008.5d92.9a91  Vlan1
192.100.50.39   00:13:15  0008.5d92.86ed  Vlan1
192.100.50.40   00:13:15  0008.5d92.8745  Vlan1
192.100.50.41   00:13:15  0008.5d92.9af6  Vlan1
192.100.50.42   00:13:14  0008.5d92.86c4  Vlan1
192.100.50.43   00:04:15  0008.5d92.9a4a  Vlan1
192.100.50.44   00:13:15  0008.5d92.9a98  Vlan1
192.100.50.45   00:13:15  0008.5d92.9a7d  Vlan1
192.100.50.46   00:13:15  0008.5d92.9aa0  Vlan1
192.100.50.47   00:13:14  0008.5d92.9b06  Vlan1
192.100.50.48   00:13:15  0008.5d92.9a45  Vlan1
192.100.50.49   00:13:15  0008.5d92.9aa4  Vlan1
192.100.50.50   00:13:15  0008.5d92.8772  Vlan1
192.100.50.51   00:13:15  0008.5d92.873d  Vlan1
192.100.50.52   00:13:15  0008.5d92.9ab2  Vlan1
192.100.50.53   00:13:14  0008.5d92.9a49  Vlan1
192.100.50.54   00:13:14  0008.5d92.9a41  Vlan1
192.100.50.55   00:13:14  0008.5d92.8765  Vlan1
192.100.50.56   00:13:14  0008.5d92.8774  Vlan1
192.100.50.57   00:13:15  0008.5d92.9a85  Vlan1
192.100.50.58   00:13:15  0008.5d92.9a74  Vlan1
192.100.50.59   00:13:15  0008.5d92.9a7a  Vlan1
192.100.50.60   00:13:15  0008.5d92.9a96  Vlan1
192.100.50.61   00:01:18  0008.5d92.9ad1  Vlan1
192.100.50.62   00:13:15  0008.5d92.8741  Vlan1
192.100.50.63   00:13:15  0008.5d92.9ab9  Vlan1
192.100.50.64   00:16:45  0008.5d92.9a92  Vlan1
192.100.50.66   00:13:14  0008.5d92.9a78  Vlan1
192.100.50.67   00:13:14  0008.5d92.9af7  Vlan1
192.100.50.68   00:00:55  0008.5d92.870c  Vlan1
192.100.50.69   00:13:14  0008.5d92.9ad3  Vlan1
192.100.50.70   00:13:15  0008.5d92.9a95  Vlan1
192.100.50.71   00:13:15  0008.5d92.9a7f  Vlan1
192.100.50.72   00:13:15  0008.5d92.9a0c  Vlan1
192.100.50.73   00:13:15  0008.5d92.9af8  Vlan1
192.100.50.74   00:04:49  0008.5d92.9aad  Vlan1
192.100.50.75   00:13:14  0008.5d92.9a81  Vlan1
192.100.50.76   00:13:14  0008.5d92.9a8e  Vlan1
192.100.50.77   00:13:15  0008.5d92.9a88  Vlan1
192.100.50.78   00:13:15  0008.5d92.8848  Vlan1
192.100.50.79   00:06:24  0008.5d92.9ab6  Vlan1
192.100.50.80   00:13:15  0008.5d92.9730  Vlan1
192.100.50.81   00:13:15  0008.5d92.9a4d  Vlan1
192.100.50.82   00:13:15  0008.5d92.9aa3  Vlan1
192.100.50.83   00:13:15  0008.5d92.86ca  Vlan1
192.100.50.84   00:13:15  0008.5d92.8743  Vlan1
192.100.50.85   00:13:14  0008.5d92.8700  Vlan1
192.100.50.86   00:13:15  0008.5d92.9a7b  Vlan1
192.100.50.87   00:13:15  0008.5d92.9ac5  Vlan1
192.100.50.88   00:13:15  0008.5d92.86c3  Vlan1
192.100.50.89   00:13:15  0008.5d92.9a8c  Vlan1
192.100.50.90   00:02:02  0008.5d92.97e6  Vlan1
192.100.50.91   00:00:02  0008.5d92.9a5a  Vlan1
192.100.50.92   00:13:14  0008.5d92.9a66  Vlan1
192.100.50.93   00:13:14  0008.5d92.9ab7  Vlan1
192.100.50.94   00:13:15  0008.5d92.9ad2  Vlan1
192.100.50.95   00:13:15  0008.5d92.9ad5  Vlan1
192.100.50.96   00:13:15  0008.5d92.9a80  Vlan1
192.100.50.97   00:02:05  0008.5d92.8704  Vlan1
192.100.50.98   00:13:14  0008.5d92.86b9  Vlan1
192.100.50.99   00:13:14  0008.5d92.9a7e  Vlan1
192.100.50.100  00:13:14  0008.5d92.8703  Vlan1
192.100.50.101  00:13:15  0008.5d92.9af3  Vlan1
192.100.50.103  00:13:14  0008.5d92.9a43  Vlan1
192.100.50.105  00:13:14  0008.5d92.9a82  Vlan1
192.100.50.106  00:13:14  0008.5d92.873b  Vlan1
192.100.50.109  00:13:15  0008.5d90.35a0  Vlan1
192.100.50.110  00:13:15  0008.5d92.9af1  Vlan1
192.100.50.112  00:07:04  0008.5d92.9a75  Vlan1
192.100.50.248  00:07:36  0050.5689.305a  Vlan1
192.100.50.249  00:05:54  0008.5d79.0233  Vlan1
192.100.50.250  00:04:04  0008.5d85.479f  Vlan1
192.100.50.251  00:00:24  0008.5d80.a271  Vlan1
192.100.50.253  00:14:53  0008.5d87.b6bd  Vlan1
192.100.100.7   0.364790  e0cb.4eec.e870  Vlan1
192.100.100.12  00:00:20  0050.56b9.3bee  Vlan1
192.100.100.13  00:03:46  0050.56b9.3bef  Vlan1
192.100.100.14  0.466961  0050.56b9.3bf0  Vlan1
192.100.100.15  00:00:01  0050.56bb.3713  Vlan1
192.100.100.22  00:15:42  0050.5689.305a  Vlan1
192.100.100.23  00:00:18  0019.3200.54cb  Vlan1
192.100.100.24  00:17:48  0050.5689.4c8f  Vlan1
192.100.100.26  00:01:34  0019.99fc.0bb2  Vlan1
192.100.100.27  00:02:50  0050.5689.4c92  Vlan1
192.100.100.28  00:15:38  0050.5689.4c91  Vlan1
192.100.100.29  00:00:40  0050.5689.1c1c  Vlan1
192.100.100.36  00:06:42  000e.7fa7.7e79  Vlan1
192.100.100.38  0.778395  00e0.c511.957a  Vlan1
192.100.100.41  00:02:32  485b.39a9.f059  Vlan1
192.100.100.48  00:02:39  485b.39a9.f0fb  Vlan1
192.100.100.50  00:02:35  0022.4d68.aa93  Vlan1
192.100.100.56  0.810445  ecb1.d7f3.fab8  Vlan1
192.100.100.63  00:00:20  INCOMPLETE      Vlan1
192.100.100.66  00:00:18  20cf.308e.4ea3  Vlan1
192.100.100.72  00:00:09  10dd.b19f.bc03  Vlan1
192.100.100.73  00:06:44  e0cb.4eec.e81b  Vlan1
192.100.100.75  00:00:05  10dd.b1b5.60b9  Vlan1
192.100.100.79  00:06:58  485b.39a9.f085  Vlan1
192.100.100.86  00:08:51  0050.5689.3b71  Vlan1
192.100.100.90  00:05:03  485b.39a9.f06e  Vlan1
192.100.100.92  00:00:13  9ceb.e825.0752  Vlan1
192.100.100.103 00:00:24  0019.99b5.9ec6  Vlan1
192.100.100.105 0.037598  dcfe.0705.83c6  Vlan1
192.100.100.113 00:04:36  0080.91ad.3082  Vlan1
192.100.100.118 0.245746  9ceb.e825.083f  Vlan1
192.100.100.119 00:05:05  001e.3303.1e0b  Vlan1
192.100.100.123 00:15:58  0050.568c.44c4  Vlan1
192.100.100.124 00:00:47  0050.568c.3875  Vlan1
192.100.100.129 00:01:55  0050.568c.5027  Vlan1
192.100.100.130 00:01:00  485b.39a9.f113  Vlan1
192.100.100.136 00:00:06  34e6.d74d.d79d  Vlan1
192.100.100.137 00:05:55  b083.fe60.2169  Vlan1
192.100.100.139 00:03:12  000c.29c1.1fd4  Vlan1
192.100.100.141 00:00:01  9ceb.e825.0445  Vlan1
192.100.100.151 00:00:02  0050.568c.1fc7  Vlan1
192.100.100.152 00:12:02  0050.568c.32df  Vlan1
